Purchase_Year,Original_Price,Furniture_Type,Material,Quality,Color,Condition_Years,Target_Year,Predicted_Price
2019,"₹28,930",Wardrobe,Plywood,Low,Cream,6,2025,"₹3,403"
2020,"₹48,599",Wardrobe,Plastic,Low,Grey,5,2025,"₹8,168"
2017,"₹30,670",Sofa,Plastic,High,Grey,8,2025,"₹13,202"
2019,"₹42,772",Bed,Wood,Medium,Brown,6,2025,"₹11,212"
2015,"₹21,752",Table,Engineered Wood,Low,Beige,10,2025,"₹1,000"
2021,"₹23,152",Bed,Steel,Low,Beige,4,2025,"₹5,558"
2016,"₹28,297",Cabinet,Wood,Medium,Blue,9,2025,"₹3,797"
2022,"₹26,642",Cabinet,Plywood,Medium,Black,3,2025,"₹13,640"
2024,"₹14,233",Table,Plywood,High,Beige,1,2025,"₹12,809"
2018,"₹44,666",Bookshelf,Plastic,High,Teak,7,2025,"₹21,363"
2021,"₹37,248",Chair,Plastic,Low,Cream,4,2025,"₹8,943"
2021,"₹33,438",Table,MDF,Medium,Red,4,2025,"₹13,696"
2023,"₹35,480",Dresser,Plywood,High,Brown,2,2025,"₹28,738"
2024,"₹8,603",Dresser,Teak Wood,High,Brown,1,2025,"₹7,742"
2017,"₹5,819",Cabinet,Teak Wood,Low,White,8,2025,"₹1,000"
2020,"₹43,486",Dresser,Engineered Wood,Medium,Beige,5,2025,"₹14,249"
2020,"₹42,403",Cabinet,Wood,High,Teak,5,2025,"₹25,038"
2015,"₹25,516",Wardrobe,Teak Wood,Medium,Walnut,10,2025,"₹2,739"
2024,"₹34,679",Chair,MDF,Low,Walnut,1,2025,"₹24,275"
2019,"₹19,025",Bed,Wood,High,White,6,2025,"₹10,110"
2020,"₹34,017",Bookshelf,MDF,Low,Walnut,5,2025,"₹5,717"
2019,"₹30,914",Wardrobe,Wood,High,Blue,6,2025,"₹16,428"
2015,"₹18,022",Sofa,Engineered Wood,Medium,Teak,10,2025,"₹1,935"
2017,"₹35,925",Wardrobe,Plywood,Low,Grey,8,2025,"₹2,071"
2015,"₹43,042",Wardrobe,Plastic,Low,Beige,10,2025,"₹1,215"
2020,"₹22,583",Sofa,Teak Wood,Medium,Teak,5,2025,"₹7,399"
2019,"₹3,389",Table,Steel,Medium,White,6,2025,"₹1,000"
2019,"₹31,898",Sofa,Wood,High,Black,6,2025,"₹16,951"
2019,"₹9,550",Bookshelf,Plastic,Low,Brown,6,2025,"₹1,123"
2018,"₹33,723",TV Unit,MDF,Low,Black,7,2025,"₹2,777"
2017,"₹26,980",Bed,Wood,Medium,Blue,8,2025,"₹4,526"
2019,"₹6,716",Cabinet,Wood,Medium,Teak,6,2025,"₹1,760"
2023,"₹34,801",Dining Table,Plywood,Medium,Beige,2,2025,"₹22,272"
2021,"₹43,074",Sofa,Wood,Medium,Walnut,4,2025,"₹17,643"
2017,"₹32,988",Cabinet,Wood,High,White,8,2025,"₹14,200"
2024,"₹32,348",Bed,Teak Wood,Low,Beige,1,2025,"₹22,643"
2018,"₹34,916",Bookshelf,Plywood,High,Grey,7,2025,"₹16,700"
2017,"₹12,752",Bed,MDF,Low,Cream,8,2025,"₹1,000"
2017,"₹5,246",Bookshelf,Steel,Low,Brown,8,2025,"₹1,000"
2024,"₹9,367",Wardrobe,Plastic,Low,Teak,1,2025,"₹6,556"
2017,"₹41,646",Wardrobe,Plastic,High,Teak,8,2025,"₹17,927"
2024,"₹44,589",TV Unit,Wood,Medium,Red,1,2025,"₹35,671"
2020,"₹33,908",Dresser,Teak Wood,Low,Cream,5,2025,"₹5,698"
2023,"₹41,653",Sofa,Engineered Wood,Medium,Blue,2,2025,"₹26,657"
2024,"₹29,301",Wardrobe,MDF,High,Red,1,2025,"₹26,370"
2015,"₹40,396",Dining Table,Teak Wood,Low,Brown,10,2025,"₹1,141"
2015,"₹39,762",Table,Steel,Low,Teak,10,2025,"₹1,123"
2022,"₹48,360",Dining Table,Plastic,Medium,Black,3,2025,"₹24,760"
2019,"₹49,034",Dining Table,MDF,Low,Grey,6,2025,"₹5,768"
2023,"₹38,860",Bookshelf,Steel,Medium,Blue,2,2025,"₹24,870"
2019,"₹16,659",Bed,Engineered Wood,High,Blue,6,2025,"₹8,853"
2020,"₹34,179",Sofa,Teak Wood,High,Grey,5,2025,"₹20,182"
2016,"₹11,848",TV Unit,Plastic,Medium,Black,9,2025,"₹1,590"
2021,"₹20,739",Dining Table,Wood,Medium,Beige,4,2025,"₹8,494"
2015,"₹17,406",Chair,Steel,High,White,10,2025,"₹6,069"
2019,"₹27,287",Dresser,Steel,High,White,6,2025,"₹14,501"
2023,"₹18,012",Table,Wood,Low,Cream,2,2025,"₹8,825"
2017,"₹9,750",Sofa,Plywood,Medium,Beige,8,2025,"₹1,635"
2016,"₹39,700",Dresser,Plywood,High,Grey,9,2025,"₹15,380"
2022,"₹29,395",TV Unit,Teak Wood,Low,Cream,3,2025,"₹10,082"
2017,"₹49,468",Dining Table,Wood,Low,Walnut,8,2025,"₹2,851"
2022,"₹24,986",Cabinet,Engineered Wood,Low,Blue,3,2025,"₹8,570"
2020,"₹10,559",Wardrobe,Wood,High,Black,5,2025,"₹6,234"
2024,"₹12,826",Cabinet,Engineered Wood,High,Black,1,2025,"₹11,543"
2023,"₹7,456",TV Unit,MDF,High,Walnut,2,2025,"₹6,039"
2022,"₹44,206",Cabinet,MDF,Low,Blue,3,2025,"₹15,162"
2021,"₹37,038",Chair,Engineered Wood,High,Walnut,4,2025,"₹24,300"
2015,"₹23,451",TV Unit,MDF,Medium,Cream,10,2025,"₹2,518"
2020,"₹37,846",Wardrobe,Plywood,Low,Cream,5,2025,"₹6,360"
2016,"₹21,496",Wardrobe,Teak Wood,High,Black,9,2025,"₹8,327"
2022,"₹36,081",Bed,MDF,High,Blue,3,2025,"₹26,303"
2015,"₹27,033",Sofa,Engineered Wood,High,Walnut,10,2025,"₹9,425"
2024,"₹3,728",Dresser,Teak Wood,Medium,Beige,1,2025,"₹2,982"
2023,"₹41,408",Cabinet,MDF,Low,White,2,2025,"₹20,289"
2022,"₹41,873",Dresser,Engineered Wood,Low,Black,3,2025,"₹14,362"
2021,"₹9,158",Table,Plywood,High,Cream,4,2025,"₹6,008"
2016,"₹40,695",Dining Table,Teak Wood,High,Blue,9,2025,"₹15,766"
2017,"₹45,272",Table,Teak Wood,High,Cream,8,2025,"₹19,488"
2019,"₹17,374",Chair,MDF,Low,White,6,2025,"₹2,044"
2021,"₹46,637",Chair,Teak Wood,Medium,Cream,4,2025,"₹19,102"
2024,"₹23,116",Dresser,Engineered Wood,Medium,Walnut,1,2025,"₹18,492"
2021,"₹29,555",Chair,Engineered Wood,Medium,White,4,2025,"₹12,105"
2023,"₹19,010",Dining Table,Wood,Low,Walnut,2,2025,"₹9,314"
2020,"₹26,273",Bookshelf,Wood,High,Walnut,5,2025,"₹15,513"
2016,"₹22,579",Bookshelf,MDF,Medium,Cream,9,2025,"₹3,030"
2019,"₹4,023",Bookshelf,MDF,High,White,6,2025,"₹2,137"
2023,"₹10,861",TV Unit,MDF,Medium,Beige,2,2025,"₹6,951"
2022,"₹5,523",Bookshelf,Engineered Wood,Low,Grey,3,2025,"₹1,894"
2017,"₹34,673",Cabinet,Plywood,High,Brown,8,2025,"₹14,925"
2020,"₹13,353",Wardrobe,Plywood,High,White,5,2025,"₹7,884"
2023,"₹10,280",Chair,Plywood,Medium,Red,2,2025,"₹6,579"
2022,"₹49,134",Table,Engineered Wood,Medium,Walnut,3,2025,"₹25,156"
2021,"₹3,096",Dining Table,Plywood,Low,Blue,4,2025,"₹1,000"
2021,"₹36,270",Bookshelf,Wood,High,Cream,4,2025,"₹23,796"
2018,"₹33,449",Dresser,Plywood,High,Grey,7,2025,"₹15,998"
2018,"₹16,042",Bed,Wood,Medium,Red,7,2025,"₹3,364"
2015,"₹39,302",Dresser,Wood,High,Red,10,2025,"₹13,703"
2017,"₹23,617",Bookshelf,Plywood,Medium,White,8,2025,"₹3,962"
2022,"₹13,515",Sofa,Wood,Medium,Cream,3,2025,"₹6,919"
2019,"₹16,411",Wardrobe,Plastic,Medium,Beige,6,2025,"₹4,302"
2017,"₹46,823",Cabinet,Engineered Wood,Low,Blue,8,2025,"₹2,699"
2021,"₹30,885",Table,Engineered Wood,High,Teak,4,2025,"₹20,263"
2020,"₹39,814",Dining Table,Steel,High,Blue,5,2025,"₹23,509"
2017,"₹17,965",Dresser,MDF,Low,Cream,8,2025,"₹1,035"
2017,"₹32,150",Chair,Plywood,High,Brown,8,2025,"₹13,839"
2018,"₹15,170",Chair,Engineered Wood,Low,Black,7,2025,"₹1,249"
2018,"₹6,673",Bed,MDF,High,Brown,7,2025,"₹3,191"
2019,"₹46,689",Dining Table,Steel,High,Grey,6,2025,"₹24,812"
2019,"₹19,672",Table,Plywood,Medium,Blue,6,2025,"₹5,156"
2024,"₹12,684",Wardrobe,Steel,Medium,Beige,1,2025,"₹10,147"
2019,"₹21,607",Bed,Teak Wood,Low,White,6,2025,"₹2,542"
2015,"₹32,889",Dining Table,Plastic,Medium,Black,10,2025,"₹3,531"
2018,"₹44,155",Wardrobe,Plywood,Low,Beige,7,2025,"₹3,636"
2017,"₹45,420",Chair,Plywood,Low,Cream,8,2025,"₹2,618"
2021,"₹4,144",Table,Plywood,Medium,Teak,4,2025,"₹1,697"
2017,"₹4,949",Sofa,Plastic,Low,White,8,2025,"₹1,000"
2020,"₹23,605",Chair,Plastic,High,White,5,2025,"₹13,938"
2015,"₹48,480",Sofa,Plastic,High,Teak,10,2025,"₹16,903"
2020,"₹4,567",Bed,Wood,Medium,Teak,5,2025,"₹1,496"
2023,"₹27,498",Table,Engineered Wood,Medium,Grey,2,2025,"₹17,598"
2019,"₹21,507",Sofa,Plywood,Medium,Red,6,2025,"₹5,637"
2023,"₹16,764",Bookshelf,MDF,Low,Cream,2,2025,"₹8,214"
2017,"₹14,549",Dresser,Engineered Wood,High,Teak,8,2025,"₹6,262"
2020,"₹25,251",Cabinet,Steel,Medium,Beige,5,2025,"₹8,274"
2022,"₹40,331",TV Unit,Teak Wood,Low,White,3,2025,"₹13,833"
2017,"₹24,230",Bed,Wood,Low,Cream,8,2025,"₹1,396"
2017,"₹8,489",Bookshelf,Wood,High,Beige,8,2025,"₹3,654"
2021,"₹46,302",Chair,Steel,High,Cream,4,2025,"₹30,378"
2017,"₹29,092",Cabinet,Plywood,High,Red,8,2025,"₹12,523"
2022,"₹43,762",Cabinet,Wood,High,Brown,3,2025,"₹31,902"
2023,"₹22,166",Table,Plywood,Low,White,2,2025,"₹10,861"
2022,"₹8,676",Bookshelf,Steel,High,Brown,3,2025,"₹6,324"
2024,"₹49,319",Cabinet,Plywood,Low,Beige,1,2025,"₹34,523"
2020,"₹45,016",Dresser,Wood,High,White,5,2025,"₹26,581"
2022,"₹36,924",Sofa,Engineered Wood,High,Walnut,3,2025,"₹26,917"
2016,"₹15,573",Dresser,Teak Wood,Low,White,9,2025,"₹1,000"
2015,"₹3,917",Dresser,Teak Wood,Low,Grey,10,2025,"₹1,000"
2022,"₹34,389",Wardrobe,Wood,Medium,Beige,3,2025,"₹17,607"
2017,"₹38,495",Cabinet,Steel,High,Black,8,2025,"₹16,570"
2020,"₹5,146",Cabinet,Steel,Medium,Beige,5,2025,"₹1,686"
2022,"₹28,745",Dresser,MDF,Low,Beige,3,2025,"₹9,859"
2021,"₹33,541",Wardrobe,Wood,Medium,Blue,4,2025,"₹13,738"
2016,"₹15,498",Wardrobe,Engineered Wood,High,Blue,9,2025,"₹6,004"
2024,"₹31,465",Cabinet,Wood,Low,Beige,1,2025,"₹22,025"
2016,"₹22,773",Bed,Wood,Medium,Walnut,9,2025,"₹3,056"
2015,"₹10,666",Chair,Steel,Medium,Walnut,10,2025,"₹1,145"
2021,"₹39,127",Dining Table,MDF,Medium,Grey,4,2025,"₹16,026"
2020,"₹46,736",Bed,MDF,Low,Grey,5,2025,"₹7,854"
2019,"₹31,142",Bed,Plywood,Low,Blue,6,2025,"₹3,663"
2024,"₹5,165",Sofa,MDF,Medium,Red,1,2025,"₹4,132"
2022,"₹8,087",Cabinet,Wood,Medium,Cream,3,2025,"₹4,140"
2021,"₹12,336",Bed,Wood,Low,Red,4,2025,"₹2,961"
2018,"₹18,772",Dining Table,Teak Wood,High,Brown,7,2025,"₹8,978"
2017,"₹27,482",Bookshelf,Plastic,Medium,Brown,8,2025,"₹4,610"
2023,"₹31,462",Table,Plywood,Medium,White,2,2025,"₹20,135"
2022,"₹19,168",Wardrobe,Steel,Low,Red,3,2025,"₹6,574"
2020,"₹30,990",Chair,Engineered Wood,High,Blue,5,2025,"₹18,299"
2021,"₹11,826",Table,Plywood,High,White,4,2025,"₹7,759"
2015,"₹18,819",Bed,Plywood,Low,Walnut,10,2025,"₹1,000"
2015,"₹9,582",Sofa,Plywood,Medium,Black,10,2025,"₹1,028"
2023,"₹37,083",Wardrobe,Plastic,Medium,Beige,2,2025,"₹23,733"
2023,"₹48,885",Dresser,MDF,Low,White,2,2025,"₹23,953"
2015,"₹14,598",Chair,MDF,Medium,Black,10,2025,"₹1,567"
2015,"₹18,428",Chair,Plywood,Medium,Grey,10,2025,"₹1,978"
2021,"₹3,551",Bed,Wood,Low,Teak,4,2025,"₹1,000"
2019,"₹48,279",Bed,Engineered Wood,High,Red,6,2025,"₹25,657"
2021,"₹7,693",Table,Teak Wood,Low,Blue,4,2025,"₹1,847"
2021,"₹31,421",Dresser,Engineered Wood,Medium,Grey,4,2025,"₹12,870"
2022,"₹42,780",Wardrobe,Steel,Low,Walnut,3,2025,"₹14,673"
2022,"₹23,344",Bed,Steel,High,White,3,2025,"₹17,017"
2022,"₹36,307",Chair,Engineered Wood,Medium,Brown,3,2025,"₹18,589"
2024,"₹22,198",Bed,MDF,Low,Walnut,1,2025,"₹15,538"
2021,"₹7,401",Dining Table,MDF,Low,Blue,4,2025,"₹1,776"
2023,"₹13,729",Sofa,Wood,Low,Brown,2,2025,"₹6,727"
2020,"₹12,428",Dresser,Plywood,High,Grey,5,2025,"₹7,338"
2024,"₹5,198",Wardrobe,Wood,High,Beige,1,2025,"₹4,678"
2022,"₹47,875",Chair,Teak Wood,Low,Red,3,2025,"₹16,421"
2018,"₹33,342",Wardrobe,MDF,Medium,Beige,7,2025,"₹6,992"
2024,"₹15,164",Bookshelf,MDF,Low,Beige,1,2025,"₹10,614"
2015,"₹44,028",Cabinet,Steel,Medium,Walnut,10,2025,"₹4,727"
2018,"₹5,130",Bed,Plastic,Low,Walnut,7,2025,"₹1,000"
2022,"₹6,096",Bed,Engineered Wood,Low,Grey,3,2025,"₹2,090"
2023,"₹14,275",Dresser,Teak Wood,Low,Teak,2,2025,"₹6,994"
2018,"₹38,818",TV Unit,Steel,Medium,Grey,7,2025,"₹8,140"
2024,"₹38,675",TV Unit,MDF,High,Cream,1,2025,"₹34,807"
2017,"₹27,025",TV Unit,MDF,Medium,Red,8,2025,"₹4,534"
2019,"₹15,464",TV Unit,Steel,Medium,Black,6,2025,"₹4,053"
2016,"₹9,848",Table,Engineered Wood,High,Black,9,2025,"₹3,815"
2024,"₹47,075",Cabinet,Wood,Low,Grey,1,2025,"₹32,952"
2018,"₹44,719",Cabinet,Plastic,Low,Grey,7,2025,"₹3,682"
2017,"₹10,322",Wardrobe,Teak Wood,High,Beige,8,2025,"₹4,443"
2018,"₹45,115",Dining Table,Teak Wood,Medium,Red,7,2025,"₹9,461"
2018,"₹33,054",Table,Teak Wood,Medium,Grey,7,2025,"₹6,931"
2018,"₹49,052",TV Unit,Plywood,Medium,Walnut,7,2025,"₹10,286"
2018,"₹36,781",Cabinet,MDF,High,Black,7,2025,"₹17,592"
2024,"₹41,967",Wardrobe,Teak Wood,Low,Black,1,2025,"₹29,376"
2024,"₹20,939",Bookshelf,Plywood,High,Beige,1,2025,"₹18,845"
2017,"₹47,547",Bed,Teak Wood,High,Beige,8,2025,"₹20,467"
2021,"₹20,815",Chair,Plastic,Medium,Walnut,4,2025,"₹8,525"
2019,"₹30,656",Dining Table,Steel,Medium,Walnut,6,2025,"₹8,036"
2024,"₹31,104",Bed,MDF,High,Teak,1,2025,"₹27,993"
2022,"₹28,496",Dining Table,Wood,Low,Teak,3,2025,"₹9,774"
2024,"₹27,553",Dresser,Plywood,High,Grey,1,2025,"₹24,797"
2019,"₹47,604",Bed,Engineered Wood,Medium,Walnut,6,2025,"₹12,479"
2018,"₹31,078",Wardrobe,Teak Wood,Low,Beige,7,2025,"₹2,559"
2022,"₹35,849",Cabinet,Plywood,High,Black,3,2025,"₹26,133"
2024,"₹12,957",Dresser,Engineered Wood,Medium,Teak,1,2025,"₹10,365"
2020,"₹14,799",Sofa,Plastic,High,Grey,5,2025,"₹8,738"
2019,"₹5,144",Bed,Plywood,High,Teak,6,2025,"₹2,733"
2016,"₹35,318",Sofa,Wood,Low,Black,9,2025,"₹1,425"
2015,"₹27,691",TV Unit,Steel,High,Cream,10,2025,"₹9,655"
2022,"₹43,338",TV Unit,Steel,Low,Blue,3,2025,"₹14,864"
2022,"₹11,258",Bookshelf,MDF,Low,Cream,3,2025,"₹3,861"
2021,"₹22,028",Dresser,Plastic,Low,Cream,4,2025,"₹5,288"
2017,"₹18,318",Bed,Steel,Medium,Red,8,2025,"₹3,073"
2015,"₹43,798",Dining Table,Engineered Wood,Low,Red,10,2025,"₹1,237"
2020,"₹5,158",TV Unit,Steel,High,Red,5,2025,"₹3,045"
2016,"₹28,621",Bookshelf,MDF,Medium,Walnut,9,2025,"₹3,841"
2019,"₹21,817",Cabinet,MDF,Medium,Beige,6,2025,"₹5,719"
2020,"₹24,764",Dining Table,Engineered Wood,Medium,Brown,5,2025,"₹8,114"
2020,"₹23,715",Cabinet,Plywood,High,Cream,5,2025,"₹14,003"
2021,"₹32,971",Cabinet,Wood,Low,Red,4,2025,"₹7,916"
2016,"₹22,066",Chair,Wood,High,Walnut,9,2025,"₹8,548"
2018,"₹39,215",Dresser,Steel,Medium,White,7,2025,"₹8,223"
2024,"₹37,664",Sofa,Wood,Medium,Beige,1,2025,"₹30,131"
2024,"₹25,193",Sofa,Plastic,High,Cream,1,2025,"₹22,673"
2017,"₹38,930",Dresser,Engineered Wood,High,Beige,8,2025,"₹16,758"
2021,"₹3,989",Sofa,Steel,Medium,Beige,4,2025,"₹1,633"
2021,"₹32,664",Table,Wood,Medium,Walnut,4,2025,"₹13,379"
2015,"₹22,775",Dining Table,Wood,High,Grey,10,2025,"₹7,941"
2015,"₹18,753",Wardrobe,MDF,Low,Walnut,10,2025,"₹1,000"
2023,"₹19,356",TV Unit,Engineered Wood,High,Grey,2,2025,"₹15,678"
2021,"₹48,951",Chair,Wood,Low,Black,4,2025,"₹11,753"
2018,"₹34,470",Bed,Wood,High,White,7,2025,"₹16,486"
2016,"₹34,547",Bed,Engineered Wood,High,Grey,9,2025,"₹13,384"
2015,"₹10,583",Wardrobe,Wood,Medium,Brown,10,2025,"₹1,136"
2023,"₹18,931",TV Unit,Steel,Medium,Walnut,2,2025,"₹12,115"
2019,"₹42,681",Bed,Plastic,Low,Teak,6,2025,"₹5,021"
2024,"₹39,708",TV Unit,Engineered Wood,High,Grey,1,2025,"₹35,737"
2022,"₹34,739",Cabinet,Teak Wood,Low,Beige,3,2025,"₹11,915"
2017,"₹7,032",Sofa,Engineered Wood,Medium,Red,8,2025,"₹1,179"
2018,"₹29,253",Sofa,MDF,Low,Teak,7,2025,"₹2,409"
2023,"₹37,982",Dining Table,Engineered Wood,Medium,Cream,2,2025,"₹24,308"
2019,"₹9,089",Dresser,Steel,Low,Beige,6,2025,"₹1,069"
2016,"₹28,286",Wardrobe,MDF,Medium,Blue,9,2025,"₹3,796"
2017,"₹32,625",Wardrobe,Plastic,High,Teak,8,2025,"₹14,043"
2017,"₹4,631",Sofa,Plywood,Medium,Beige,8,2025,"₹1,000"
2018,"₹6,951",Dining Table,Steel,Low,Red,7,2025,"₹1,000"
2018,"₹17,890",Wardrobe,Plastic,Medium,Teak,7,2025,"₹3,751"
2015,"₹44,593",Sofa,Plywood,Low,Teak,10,2025,"₹1,259"
2020,"₹34,743",Table,MDF,Low,Brown,5,2025,"₹5,839"
2019,"₹36,838",Dining Table,Engineered Wood,High,White,6,2025,"₹19,577"
2019,"₹49,671",TV Unit,Teak Wood,High,Walnut,6,2025,"₹26,397"
2017,"₹11,930",Chair,Engineered Wood,Low,Blue,8,2025,"₹1,000"
2015,"₹21,016",Table,Steel,High,Teak,10,2025,"₹7,327"
2018,"₹26,083",Bookshelf,Engineered Wood,High,Blue,7,2025,"₹12,475"
2022,"₹34,039",Bed,MDF,High,Grey,3,2025,"₹24,814"
2024,"₹6,522",Dining Table,Steel,High,White,1,2025,"₹5,869"
2023,"₹12,839",Table,Plywood,Medium,Black,2,2025,"₹8,216"
2016,"₹33,747",Table,Plastic,Medium,Blue,9,2025,"₹4,529"
2021,"₹37,150",Table,Plastic,High,Walnut,4,2025,"₹24,374"
2024,"₹25,922",Bookshelf,Steel,Medium,Brown,1,2025,"₹20,737"
2018,"₹42,236",Chair,Engineered Wood,High,Black,7,2025,"₹20,201"
2019,"₹6,246",Wardrobe,Plywood,Low,White,6,2025,"₹1,000"
2016,"₹25,719",Chair,Plywood,Medium,Beige,9,2025,"₹3,451"
2021,"₹9,581",Chair,MDF,Medium,Brown,4,2025,"₹3,924"
2024,"₹11,956",Dresser,Engineered Wood,High,Cream,1,2025,"₹10,760"
2019,"₹32,355",TV Unit,Wood,High,Cream,6,2025,"₹17,194"
2020,"₹12,423",Dresser,Wood,Low,Red,5,2025,"₹2,087"
2018,"₹23,446",Wardrobe,Steel,High,White,7,2025,"₹11,214"
2015,"₹39,668",Bed,Steel,Medium,Blue,10,2025,"₹4,259"
2015,"₹27,400",Sofa,Steel,Low,Cream,10,2025,"₹1,000"
2015,"₹20,639",Dining Table,Teak Wood,Low,Cream,10,2025,"₹1,000"
2017,"₹34,209",Cabinet,Wood,Medium,Cream,8,2025,"₹5,739"
2023,"₹44,574",Cabinet,Steel,Low,Blue,2,2025,"₹21,841"
2017,"₹17,137",Cabinet,MDF,High,Cream,8,2025,"₹7,376"
2020,"₹19,588",Dresser,Plywood,High,Red,5,2025,"₹11,566"
2021,"₹4,303",Bed,Steel,High,Red,4,2025,"₹2,823"
2016,"₹43,891",Sofa,Engineered Wood,Medium,Blue,9,2025,"₹5,890"
2021,"₹41,588",Bookshelf,Steel,Low,Teak,4,2025,"₹9,985"
2024,"₹37,400",Cabinet,Engineered Wood,Low,Beige,1,2025,"₹26,180"
2019,"₹39,327",Cabinet,Engineered Wood,Medium,Teak,6,2025,"₹10,309"
2021,"₹7,545",Dining Table,MDF,Medium,Walnut,4,2025,"₹3,090"
2021,"₹23,727",Sofa,Engineered Wood,Medium,White,4,2025,"₹9,718"
2019,"₹42,512",Chair,Plywood,Low,Blue,6,2025,"₹5,001"
2019,"₹15,997",Cabinet,Plastic,Low,Walnut,6,2025,"₹1,882"
2023,"₹27,241",Sofa,Engineered Wood,Medium,Black,2,2025,"₹17,434"
2021,"₹25,017",Dining Table,MDF,Low,Grey,4,2025,"₹6,006"
2020,"₹24,815",Sofa,Plywood,Low,Teak,5,2025,"₹4,170"
2019,"₹6,814",Dresser,Plywood,Medium,Brown,6,2025,"₹1,786"
2017,"₹43,344",Table,Plastic,Medium,Blue,8,2025,"₹7,271"
2022,"₹21,329",Sofa,Plywood,High,Black,3,2025,"₹15,548"
2023,"₹24,961",Dresser,Teak Wood,High,Red,2,2025,"₹20,218"
2020,"₹15,114",Table,Engineered Wood,Low,Blue,5,2025,"₹2,540"
2017,"₹18,141",Dresser,Plastic,Low,Cream,8,2025,"₹1,045"
2020,"₹8,698",Chair,Plywood,Medium,White,5,2025,"₹2,850"
2016,"₹36,216",Sofa,Wood,Low,Teak,9,2025,"₹1,461"
2016,"₹48,353",Chair,Steel,High,White,9,2025,"₹18,732"
2018,"₹43,130",Dining Table,Teak Wood,Medium,Black,7,2025,"₹9,045"
2022,"₹10,632",Dresser,Plywood,Low,Grey,3,2025,"₹3,646"
2018,"₹9,139",Dining Table,Wood,High,Cream,7,2025,"₹4,371"
2017,"₹30,058",Table,Engineered Wood,Medium,Walnut,8,2025,"₹5,042"
2021,"₹39,648",Sofa,MDF,Low,Teak,4,2025,"₹9,519"
2022,"₹48,615",Dresser,Plastic,High,Walnut,3,2025,"₹35,440"
2022,"₹27,285",Bookshelf,Engineered Wood,Low,Brown,3,2025,"₹9,358"
2021,"₹24,702",TV Unit,Engineered Wood,Low,Grey,4,2025,"₹5,930"
2019,"₹30,008",Dining Table,Steel,High,Blue,6,2025,"₹15,947"
2021,"₹11,131",Dresser,Engineered Wood,High,Black,4,2025,"₹7,303"
2023,"₹30,528",Chair,Teak Wood,Medium,Blue,2,2025,"₹19,537"
2015,"₹25,931",Wardrobe,Teak Wood,Medium,Beige,10,2025,"₹2,784"
2019,"₹41,913",Bookshelf,Steel,High,Red,6,2025,"₹22,274"
2020,"₹17,553",Bookshelf,Plywood,High,Walnut,5,2025,"₹10,364"
2019,"₹15,218",Table,Engineered Wood,Medium,White,6,2025,"₹3,989"
2024,"₹11,861",Dining Table,Engineered Wood,High,Cream,1,2025,"₹10,674"
2021,"₹39,436",Wardrobe,Plastic,Medium,Grey,4,2025,"₹16,152"
2016,"₹45,188",Dining Table,MDF,High,Cream,9,2025,"₹17,506"
2022,"₹26,893",Wardrobe,Teak Wood,High,Teak,3,2025,"₹19,604"
2022,"₹35,392",TV Unit,Engineered Wood,Low,Walnut,3,2025,"₹12,139"
2020,"₹11,536",Dresser,Teak Wood,High,Grey,5,2025,"₹6,811"
2016,"₹48,486",Wardrobe,Plastic,Medium,Cream,9,2025,"₹6,507"
2018,"₹34,166",Dresser,MDF,Low,Red,7,2025,"₹2,813"
2021,"₹42,363",TV Unit,Engineered Wood,Low,Teak,4,2025,"₹10,171"
2019,"₹37,478",Wardrobe,MDF,Medium,Teak,6,2025,"₹9,824"
2016,"₹36,932",Sofa,Plywood,Low,Blue,9,2025,"₹1,490"
2024,"₹42,073",Chair,Plastic,High,Cream,1,2025,"₹37,865"
2016,"₹4,030",Table,Wood,Low,Red,9,2025,"₹1,000"
2018,"₹23,173",Bookshelf,Plastic,High,Teak,7,2025,"₹11,083"
2021,"₹35,069",Cabinet,Plastic,Low,Red,4,2025,"₹8,420"
2015,"₹12,097",Cabinet,Plastic,Medium,Beige,10,2025,"₹1,298"
2019,"₹29,918",Bookshelf,Steel,Low,Beige,6,2025,"₹3,519"
2021,"₹3,025",Table,Engineered Wood,Low,Blue,4,2025,"₹1,000"
2020,"₹44,381",Sofa,Steel,Low,Walnut,5,2025,"₹7,459"
2016,"₹37,901",Bookshelf,Steel,Low,Brown,9,2025,"₹1,529"
2022,"₹35,736",Cabinet,Plywood,Low,Beige,3,2025,"₹12,257"
2023,"₹41,717",Table,MDF,Medium,Red,2,2025,"₹26,698"
2021,"₹39,590",Chair,Teak Wood,Low,Teak,4,2025,"₹9,505"
2019,"₹26,021",Dresser,Wood,Medium,Cream,6,2025,"₹6,821"
2019,"₹25,449",Bookshelf,Plywood,Low,Beige,6,2025,"₹2,994"
2017,"₹30,759",Wardrobe,Engineered Wood,Medium,Walnut,8,2025,"₹5,160"
2018,"₹22,241",Cabinet,Wood,Medium,Red,7,2025,"₹4,664"
2022,"₹16,143",Chair,Teak Wood,Medium,Cream,3,2025,"₹8,265"
2019,"₹20,607",Bed,Plastic,High,Black,6,2025,"₹10,951"
2018,"₹36,447",Dresser,Plastic,High,Blue,7,2025,"₹17,432"
2022,"₹32,092",Bed,Plastic,High,Red,3,2025,"₹23,395"
2015,"₹13,628",Cabinet,MDF,High,Cream,10,2025,"₹4,751"
